"x"
"1" NA
"2" NA
"3" NA
"4" NA
"5" NA
"6" NA
"7" NA
"8" NA
"9" NA
"10" NA
"11" "作者toolin (紅藍是世上最美的顏色)看板TWICE標題[閒聊] 又是我( ￣▽￣)σ送專時間Mon Jun 25 17:34:55 2018
推 oncemaggie: 會去美國？ 06/26 13:49
推 snio2427: 8月要跑美國的樣子 06/26 13:50
推 pinkcircleee: kcon la？ 06/26 13:51
推 PROMAC: 妹妹又被出賣了 XD 06/26 13:51
→ tycousin: 妹妹 XDD 06/26 13:52
推 a28998223: 很像 06/26 13:52
→ a28998223: 都大眼 06/26 13:52
→ tycousin: 這樣好嗎 XDDD 06/26 13:53
推 vjr964040: 現在開V都會出賣妹妹XDDD 06/26 13:53
→ a28998223: 娜璉？XDD 06/26 13:53
推 PROMAC: 寶劍XD 06/26 13:54
推 pointer258: 好多kligi 06/26 13:55
推 m9o2o: 志效真的好漂亮哦 眼睛好大uwu 06/26 13:57
推 Moneysteven: 推 06/26 14:00
推 stu2705: 小隊太美 大大的眼睛看鏡頭實在是心臟爆擊 06/26 14:00
推 Keney99: 心空~~ 06/26 14:01
推 twkian22: 志效也是一個人可以聊的很high... 06/26 14:02
推 pointer258: 太近了啦 鬧木害 06/26 14:06
推 mp3w69: 要團拍了 可能要關了 06/26 14:07
→ TWICEoMOMOo: 志效也在看金秘書為何那樣 06/26 14:07
推 snio2427: 關了 06/26 14:08
推 oncemaggie: 關了 06/26 14:08
推 twkian22: 沒了.. 06/26 14:08
推 fs10431: 不~~~剛剛出門完美的錯過...TT 06/26 14:38
推 xxxangoy: 錯過了 06/26 14:38
推 Totoro0802: 錯過了.. 06/26 15:06
推 FRsky: 她們真的曬黑了，好明顯的對比XD 不過還是很美！！ 06/26 15:41
推 singsong0932: 希望TWICE能來LA QQ 06/26 16:04
推 proprome: 小隊曬黑更有印度血統的感覺了(逃 06/26 16:22
推 Jouhnny: 八月要去美國超級像KCON LA阿 8/10~12也沒卡到行程 06/26 16:24
推 garyqbs: 竟然有V! 應該是休息空檔拍的 06/26 16:28
推 garyqbs: 志效日常出賣妹妹XDD 06/26 17:03
推 Ltw0801: 小隊問經紀人八月去美國公開了嗎的時候有小小聲講了kcon 06/26 17:09
→ Ltw0801: ！ 06/26 17:09
推 PROMAC: 上次悄悄話說小妹交男朋友也是太大聲大家都聽到了 XD 06/26 17:18
推 wu9883005: 每次開V 隨便都一個小時  深深覺得我們ONCE真幸福 06/26 17:38
推 garyqbs: 期待一下LA 06/26 17:47
推 husky1989: 看VLIVE縮圖還以為子瑜開的XDD 06/26 18:22
推 ladyC: 志效還秀出跟寶劍的合照，好可愛XD 06/26 18:28
→ garyqbs: 妹妹表示我們好好談一談(誤 06/26 20:19
推 hugowind: 滿滿的小隊...O<-< 06/26 20:24
推 HomuCat: 志效真的黑好多XD 一開始調特效那裏很明顯XDD 06/26 20:34
※ 編輯: tycousin (111.254.137.115), 06/26/2018 20:36:28
推 ilGroundhog: 開的時間真不巧 等中字 06/26 23:07
→ ilGroundhog: 志效小麥色膚色很適合他 06/26 23:08
※ 編輯: tycousin (111.254.126.238), 06/27/2018 10:14:48
推 twkian22: 有中文了~ 06/27 16:27
※ 編輯: tycousin (111.254.126.238), 06/27/2018 18:01:11
推 PROMAC: http://i.imgur.com/4eg3all.jpg 06/27 19:40
→ PROMAC: 嘎里嘎里君薄荷巧克力 06/27 19:40
→ garyqbs: 鷹眼once 06/27 19:46
推 wu9883005: 小隊的眼睛真的好大喔~都可以從眼睛反射看到手機了XD 06/28 00:11
推 PROMAC: V裡面實際吃的是這款 06/28 02:05
→ PROMAC: http://i.imgur.com/PmlE7GL.jpg 06/28 02:05
"
"21" NA
"22" NA
"23" "作者tycousin ()看板TWICE標題[影音] 180626 [TWICE 5分Radio] EP.04時間Tue Jun 26 18:00:07 2018
[TWICE 5分Radio] EP.04 凌晨工房 魅力探索!
http://www.vlive.tv/video/75348

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.254.137.115
※ 文章網址: https://www.ptt.cc/bbs/TWICE/M.1530007210.A.D98.html
※ 編輯: tycousin (111.254.137.115), 06/26/2018 18:00:34
推 HowWhy99: push 06/26 18:02
推 vjr964040: 推~~~~ 06/26 18:05
推 lesliedj: 快推~~ 06/26 18:06
推 xxxangoy: 推推 06/26 18:07
推 PROMAC: 喜歡你 好可愛 XD 06/26 18:10
推 kop88205: 推～  我愛你 :D 06/26 18:10
推 ffti1995: 推推～庫洛魔法使動畫裡有這首歌嗎我怎麼好像沒印象 06/26 18:11
推 mp3w69: 5分限制 形同虛設 XDDD 06/26 18:11
推 lesliedj: 進行到一半就過完啦~~~XDDDD 06/26 18:12
推 vjr964040: TWICE翻唱過?? 06/26 18:15
推 AkiRyou: 推 中日文也唱 很有誠意啊 06/26 18:16
推 twkian22: ~五分鐘~其實只是催場做用而已.. 06/26 18:18
推 ScPn: 中文唱很好欸 06/26 18:23
推 vjr964040: 原來一巡時有翻唱過 06/26 18:34
推 snio2427: 推 06/26 18:49
推 lio6o3ce: 推 06/26 18:54
推 ezorange: 推 06/26 19:08
推 wu9883005: 聲音好聽 果然唱什麼語言都很好聽~ 06/26 19:20
推 radishhead: 推 06/26 19:47
推 GnilZL: 推 06/26 19:56
推 garyqbs: 這動畫有聽過沒看過XD  一巡時有翻唱過 06/26 20:18
→ Keney99: 永遠超過5分鐘 哈哈 06/26 20:38
推 Moneysteven: 推 06/26 20:46
推 miwy: 查了一下 這首應該是韓國的庫洛魔法使另外配的主題曲 06/26 20:54
→ miwy: https://youtu.be/e6zp5Qob9ko (韓版) 06/26 20:54
→ miwy: https://youtu.be/R_C5XPpj41E (日版) 這首我們應該比較常聽 06/26 20:55
推 pinkcircleee: 原來XD 06/26 21:55
→ karta2747628: 推錯文幫刪QQ 07/01 12:35
來信刪推
※ 編輯: tycousin (111.254.120.79), 07/01/2018 13:22:28
"
"24" NA
"25" NA
"26" "作者d00687 (DADA)看板TWICE標題[照片] 180626 Summer Nights TWICE時間Tue Jun 26 23:00:11 2018
TWICE Summer Nights TWICE

https://i.imgur.com/NiE26DC.jpg
https://i.imgur.com/pv9lor2.jpg

來源: https://goo.gl/xVctQh
      https://goo.gl/kkBPg2 (@jypnation)
      https://goo.gl/qQhTdB
      https://goo.gl/Z4vKW1 (@JYPETWICE)

--

TWICE
THE 2ND SPECIAL ALBUM
Summer Nights

PRE-ORDER STARTS
2018.06.25. MON.

Dance The Night Away
2018.07.09 6PM

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 27.147.2.54
※ 文章網址: https://www.ptt.cc/bbs/TWICE/M.1530025213.A.B27.html
推 squirrel77: 推推 06/26 23:00
推 lhchangmflee: 推！！！ 06/26 23:00
推 welly851014: 推推 06/26 23:00
推 tycousin: 推 06/26 23:00
推 vjr964040: 推!!! 06/26 23:00
推 garyqbs: 啊啊啊啊啊啊~~~~ 06/26 23:00
→ devidevi: 阿阿 06/26 23:00
推 aplseed: 推! 06/26 23:00
推 minne96: 哇!!!!!!!!!!!!!!!! 06/26 23:00
推 st40182: 推推推 06/26 23:01
推 v6v6: 推 好繽紛阿 06/26 23:01
→ AkiRyou: 終於等到你 06/26 23:01
推 Ningvolley: 這造型？？ 06/26 23:01
推 pinkcircleee: 推 06/26 23:01
推 orangeonly: 推推!! 06/26 23:01
推 PROMAC: 雙馬尾彩彩超可愛 XD 06/26 23:01
推 ben39: 孩子們都太美啦>< 06/26 23:01
推 jason0828: 都好美啊啊啊啊啊 06/26 23:01
推 starbacker: 夏天來啦 06/26 23:02
推 snio2427: 推 06/26 23:02
推 kyuketuhime: 美！ 06/26 23:02
推 Moneysteven: 推～～～ 06/26 23:02
推 oooo87: 好好看啊！！！！ 06/26 23:02
推 berry5277: 好美啊～～～期待 06/26 23:02
→ minne96: 好有fu哦～ 06/26 23:02
推 jay566495: 喔喔喔喔喔 太美啦!!!!!! 06/26 23:02
推 baileygisys: 好正啊啊啊大家！！ 06/26 23:02
推 oncemaggie: 推啊啊啊啊啊 06/26 23:02
推 kop88205: 真多樣造型XDD 06/26 23:02
推 grapeman: 定延那件？ 06/26 23:02
推 percyannie: 推 06/26 23:02
推 garyqbs: 字變金色了~(沒人在看字啦) 06/26 23:02
→ Ningvolley: 領口太低了！！不行！！ 06/26 23:02
推 m9o2o: 推終於放預告照了TT 然後有好幾個造型根本不適合海灘XDDD 06/26 23:02
推 domowater: 這造型出現在海邊XDDD 06/26 23:02
推 chaelove: 雙馬尾彩彩回歸啦 06/26 23:02
推 radishhead: 推!!! 太美了!!! 06/26 23:02
→ garyqbs: 圖不只一張啊! ! ! 06/26 23:03
推 musicmuj: 推推推 06/26 23:03
推 ronald000: 推 06/26 23:03
推 aa8318800: 啊啊啊啊啊~~好美啊啊啊啊>\\\\\< 06/26 23:03
推 ilGroundhog: 海灘Party的感覺 06/26 23:03
推 diandou: 三歲的適合在沙灘嗎XDDDDD 06/26 23:03
推 ewq650719: 推 06/26 23:03
推 cgf970126: 推推 06/26 23:03
推 tycousin: 彩彩雙馬尾啊！！！ 06/26 23:03
推 stardoor: 也太美了吧 06/26 23:03
推 apple930283: 哇啊啊啊啊!正! 06/26 23:03
→ domowater: 第二張的子瑜是不是沒看鏡頭？ 06/26 23:03
推 aliceliu333: 衣服好不適合海灘喔 XDDDDDDDD 06/26 23:03
推 erica568837: 啊啊啊啊啊啊 06/26 23:03
推 husky1989: 來啦 在海邊開舞會趴替嗎XDD 06/26 23:03
→ radishhead: 海邊辦party? 不是夏日納涼風嗎XDDDD 06/26 23:03
推 rabbit36: 推！！！！ 06/26 23:04
推 emo9: 衣服不像夏日風格啊 科科科 06/26 23:04
推 z2004hume: 哇~~~~~~~~~ 06/26 23:04
推 GOQQ: 像貴婦們在沙灘XD 06/26 23:04
→ grapeman: 娜璉去海邊為啥要戴手套啊 06/26 23:04
推 enjoy31401: 阿阿阿阿阿~~~~o<-< (倒 06/26 23:04
推 aa03406856: 推推推 06/26 23:04
推 stara1125: 還以為衣服會是短褲短袖T恤！哈哈 06/26 23:04
→ husky1989: 三歲那套超不搭的啦XDDDD 06/26 23:04
推 tychou: 推 06/26 23:04
推 vveva: 跳起來！～ 06/26 23:04
推 garyqbs: 太美了! 美到讓人覺得很恐怖~~!! 06/26 23:04
推 shihyanyu: 啊啊啊啊啊啊啊好美 大推!!!! 06/26 23:05
推 WLR: 看起來像參加營火晚會的造型 06/26 23:05
推 GnilZL: 推推推 06/26 23:05
→ enjoy31401: 第一張大家都笑成一樣 怪恐怖的XD 06/26 23:05
→ aliceliu333: 好微妙的感覺XDDDDDDDDDD 06/26 23:05
推 oncemaggie: 在海邊穿這種衣服XDD 06/26 23:05
推 m9o2o: 這反差XDDDDD 06/26 23:05
→ garyqbs: 三歲那套超顯眼XDDD 06/26 23:05
推 sandy52856: 好美！！ 06/26 23:05
推 kop88205: 該不會是什麼郵輪之類的..沖上岸嗎XD? 06/26 23:05
推 stu2705: 參加晚宴跑去沙灘續攤的感覺 06/26 23:05
推 qaz8521022: 推 06/26 23:05
推 shayy: 看到娜璉手套噴笑XDDD 06/26 23:05
推 ansticelove: 這造型配場景看超特別啊XDDD 06/26 23:06
推 wty84136: 好好看啊啊啊啊啊啊啊 06/26 23:06
推 pinkcircleee: 這...好難猜啊@@ 06/26 23:06
推 aa0780928: 三歲是走錯棚吧 06/26 23:06
→ kop88205: 海灘續攤XDDD 06/26 23:06
→ aliceliu333: 是什麼海上漂流到荒島的故事嗎XDDDDDDDD 06/26 23:06
推 u6fm3: 哇！！！ 06/26 23:06
推 radishhead: 三歲XDDDD 06/26 23:06
推 cw22: 真的像參加郵輪舞會的女士們出現在海攤上 06/26 23:06
→ enjoy31401: 每次看預告照都好難猜風格XD 06/26 23:06
推 husky1989: 這反差不落俗套 反而有意外的驚喜XDDD 06/26 23:07
推 alice41336a: 推 06/26 23:07
推 aa8318800: 孩子們有點fire 啊啊啊~~手套XDDDD 06/26 23:07
推 a23701851: 推 06/26 23:07
推 babun: 推 06/26 23:07
推 ONLYTWICE: 跟我一開始想的服裝風格完全不一樣XDD 06/26 23:07
推 garyqbs: 從郵輪被沖上岸XDDD 超恐怖~~ 06/26 23:07
推 tycousin: 專輯名是Summer Nights 06/26 23:07
推 elley504: 坐在沙灘上那張子瑜在看哪裡XD 06/26 23:07
推 tycousin: 標題是歌名～ 06/26 23:07
推 twkian22: 推~~~~ 06/26 23:07
推 evaaafang: 好神奇哦哈哈哈哈哈哈哈太難了這個XDD 06/26 23:07
推 jacaba: 這風格好特別！！期待ＭＶ 06/26 23:07
推 pistw: 三歲根本跑錯趴吧XDXX 06/26 23:07
推 bigsally25: 超美啊啊啊 06/26 23:07
推 imhuahua: 第一張的三歲…果然恐怖風XDD 06/26 23:08
→ imhuahua: 笑得你心底發寒… 06/26 23:08
推 kyeg339: 推 06/26 23:08
推 ansticelove: 這樣真的更期待!!! 完全意想不到啊XD 06/26 23:08
→ garyqbs: 從TT開始就已經完全放棄猜風格了 06/26 23:08
推 sea456123: 這衣服在海灘XD 06/26 23:08
推 wangwu9012: 這風格好特別!! 06/26 23:08
推 smallfish32: 服裝這樣配是因為恐怖風的連結嗎？ 06/26 23:08
推 doofor: 流落到恐怖島的概念? 06/26 23:09
推 amy0510zxc: 推推推 仲夏晚宴風（！？） 06/26 23:09
→ garyqbs: 笑得你心底發寒XD 06/26 23:09
推 oncemaggie: 三歲跑錯棚XD 06/26 23:09
推 proprome: 真的很像發生船難被沖到島上 06/26 23:09
推 EVA1125ONCE: 怎麼會是這個造型出現在海邊啊XDDD 06/26 23:09
推 ce115225: 推~~ 06/26 23:09
推 radishhead: 難道子瑜不看鏡頭是伏筆(驚! 06/26 23:09
推 enjoy31401: JYP上岸? 06/26 23:10
推 bluecat5566: 第一張的打光是怎麼回事...... 06/26 23:10
→ doofor: 海灘=泳裝(X) 宴會服(O) 06/26 23:10
推 Carsr: 三歲的領口子瑜的一字服有種孩子長大了感覺 06/26 23:10
推 jackshadow: 興奮啊啊啊啊啊 06/26 23:10
推 mitskuo: 推推 06/26 23:11
推 LiuBei666: 推～～ 06/26 23:11
推 oncemaggie: 推特頭貼換了 06/26 23:11
推 garyqbs: 衣服是紅黑白色系 06/26 23:11
推 ruby0024: 好美啊啊啊啊啊啊 06/26 23:11
推 aliceliu333: 還是其實是從海邊VILLA晚宴逃出來跳舞的故事XD 06/26 23:11
推 wty84136: Logo好美啊啊啊 06/26 23:11
→ ruby0024: 好期待！！ 06/26 23:11
→ garyqbs: 推特封面換啦!!!!! 06/26 23:11
推 bluesunflowe: 第一張很寫實阿~~拍照用閃光燈差不多也是這樣 XDDD 06/26 23:12
→ garyqbs: Logo超好看 06/26 23:12
推 shwuting86: 在猜是吸血鬼概念嗎！也太美啊！ 06/26 23:12
推 raxt577: 推 06/26 23:12
推 m9o2o: 第一張大家嘴角無度差不多，真的笑得你心理發寒XDDD 06/26 23:12
→ m9o2o: *嘴角弧度 06/26 23:12
推 husky1989: 新logo好美RRRR 06/26 23:12
推 neiko: 好美啊～期待 06/26 23:12
推 kuramylove: 我要死了..雙馬尾彩.. 06/26 23:13
推 nancyyi: 推！買起來～ 06/26 23:13
推 enjoy31401: 第一張只有小隊笑得很溫暖 其他真的心裡發寒XD 06/26 23:13
推 imhuahua: 小隊頭髮的漸層超美的 06/26 23:13
推 minne96: 金色Logo好好看!!!!!!!!! 06/26 23:13
推 TExpress: 這造型配海灘好微妙XDDDDDDDDD 06/26 23:14
→ kuramylove: 志效這造型更有英氣的感覺，好好看! 三歲也好美 06/26 23:14
推 chaechae: 故事從拍了第一張照片之後開始......XD 06/26 23:14
推 garyqbs: 該不會每人後面都藏球棒什麼的(誤 06/26 23:15
推 imhuahua: 晚上在海邊拍照是感覺蠻恐怖的…XDD 06/26 23:16
推 z2004hume: 看樣子今年夏天會過得很不一樣XDD 06/26 23:16
推 arrolili: 第一張不好看  大家笑得好可怕XD 06/26 23:17
推 emo9: 郵輪舞會 然後漂流到島上的奇幻之旅(?) 06/26 23:17
→ mp3w69: 參加海上舞會 結果發生船難漂流到島上的概念 (大誤 06/26 23:17
推 aa987801: 總覺得晚上穿這樣在海邊拍照搭上那個笑容 特恐怖XD 06/26 23:17
推 wumayzi: 就是要笑得可怕，別忘恐怖夏日風，越看越毛 06/26 23:18
推 cw22: 該不會真的是船難！！！ 06/26 23:18
推 vn00620134: 這風格猜不透啊 06/26 23:18
推 husky1989: 嗯....希望不要是船難吧QQ 06/26 23:18
推 garyqbs: 徹夜狂舞到天明 06/26 23:19
推 c841130c: 推推推!!! 06/26 23:19
推 pointer258: 我有個小疑問 這次不是夜晚拍攝嗎 那孩子們是怎麼曬黑 06/26 23:20
→ pointer258: 的啊 06/26 23:20
推 imhuahua: 這次真的露蠻多的… 06/26 23:20
推 gath0617: 來個風格樂透吧！ 06/26 23:20
推 tysone: 好美！！！ 06/26 23:20
推 jackershing: 推推 06/26 23:20
推 vn00620134: 痾 希望不是船難 這個在韓國滿敏感的..加上JYP不久前 06/26 23:20
→ vn00620134: 的新聞... 06/26 23:20
→ wumayzi: 所以在官方正式發布前，不用想太多 06/26 23:21
→ garyqbs: 如果一個人走在沙漠上看到一群美女對你笑 有點恐怖~ 06/26 23:21
推 radishhead: 可能白天也有拍攝吧 06/26 23:21
→ wumayzi: 不用過度聯想了...開開心心看第一波宣傳照就好 06/26 23:21
推 m9o2o: 我覺得樓上想多了 已那個船事件為主的歌其實不少哦 06/26 23:21
推 amber419: \雙馬尾/\雙馬尾/\雙馬尾/\雙馬尾/ 06/26 23:21
→ garyqbs: 沙*灘* 06/26 23:21
→ pointer258: Sana的造型讓我想起signal 06/26 23:21
→ wumayzi: 白天也是要待機等拍攝，而且也不可能一天就拍完 06/26 23:21
推 sheistheone: 穿這個去海邊會卡沙子啦(誤 06/26 23:22
→ wumayzi: 搞不好就原本是在沙灘上的...wwwwwww 06/26 23:22
→ garyqbs: 彩彩雙馬尾髮色很好看 06/26 23:22
推 Bbviptwiceon: 推！！！ 06/26 23:23
→ wumayzi: →現在完全朝夏日納涼風來猜想...(抖) 06/26 23:23
推 oncemaggie: 第一張笑的我心裡發寒XDDD 06/26 23:23
推 ce115225: 真的有點越看越毛XDD 06/26 23:23
推 taekekeke: 娜璉的風格是未亡人嗎？那個手套XD 06/26 23:23
→ wumayzi: 怎麼覺得明天會是可怕的女鬼妝XDDD 06/26 23:24
推 doofor: 納涼好阿 趕上中元普渡很應景 06/26 23:24
推 radishhead: 看大家說的...越看越覺得有點毛XD 06/26 23:24
推 pointer258: 第一張照片笑容越看越毛 06/26 23:24
推 chaeyu: 真的覺得第一張笑的毛毛的XDDD 06/26 23:25
推 Totoro0802: 推 06/26 23:26
→ wumayzi: XDD 啊，7月 06/26 23:26
推 qaz2361: 歡迎來到納涼版XD 06/26 23:27
→ wumayzi: 我真的看第一張越看越毛啊，那笑容... 06/26 23:27
→ pointer258: 超像複製貼上 06/26 23:27
推 vveva: 就只是白天玩水累了 續攤晚會很矜 06/26 23:28
推 menu1720: 笑到你心裡發寒XDDD 06/26 23:28
推 imhuahua: 她們有說看mv就知道為什麼曬這麼黑了XD 06/26 23:28
推 ericyen2110: 推 06/26 23:29
推 QT1020: 三歲那個手套XD 06/26 23:29
推 sheistheone: 我第一張只注意到pabo2頭沒有整個露出來 06/26 23:29
推 snio2427: 恐怖風阿啊啊啊！期待 06/26 23:29
推 popo60312: 好美!好害怕!!! 06/26 23:30
推 nosba0956: 推 06/26 23:30
推 osaka3131: 推推 好期待 06/26 23:30
推 benjy0218: 只有子瑜Sana比較海灘一點 06/26 23:30
→ wumayzi: 其實我一直在看旁邊有沒有多人→幹嘛嚇自己XDDD 06/26 23:30
→ snio2427: 我也在找有沒有第三支手之類的 06/26 23:31
推 kop88205: 有沒有那麼想變恐怖風啊XD 06/26 23:31
推 chaeyu: 第一張眼妝都畫的拉長，感覺很像晚上看貓的眼睛一樣 06/26 23:32
推 imhuahua: 有人看得出來第二張背景那兩罐是什麼嗎XD 06/26 23:32
→ wumayzi: 對耶，注意到眼妝很不一樣，有點可怕→結尾都要這句 06/26 23:32
→ wumayzi: 應該是水蜜桃罐頭？鳳梨罐頭？ 06/26 23:33
推 ericgg28: 推 06/26 23:33
推 husky1989: 我也想說第一張好幾個都變貓眼XD 06/26 23:34
推 popo60312: 第二張子瑜在看哪 好害怕 06/26 23:35
推 apa41023: 為什麼要在海邊穿得像要去參加晚宴阿XD 06/26 23:35
→ wumayzi: 第二張的子瑜眼神，很像是下一秒大家準備尖叫逃跑 06/26 23:36
推 shayy: 等mv～已經不相信預告照了XD 06/26 23:37
推 plokm32: 好像懂了 四季都完整的話了 06/26 23:37
推 mygirl0857: 好期待曲風！！ 06/26 23:38
推 yiyiyiyo: 好期待啊！立刻去下單 06/26 23:39
推 ilGroundhog: 不會是船難+1世越號那件事影響太大了 用了船難會被罵 06/26 23:39
推 bluesunflowe: 在海邊別墅參加完晚宴去海灘散步很合理阿～XD 06/26 23:39
推 jolinyes: 啊！！！好美啊！！ 06/26 23:45
推 Keney99: 好美！ 06/26 23:46
→ wei071188: 推推～～～～好美！！！ 06/26 23:46
推 qaz2361: 結果最後給跟WMU一樣，封面跟內容不同XD 06/26 23:46
推 sss10228: 看到造型怎麼越來越難猜了⊙_⊙ 06/26 23:47
推 Keney99: 笑的你心裏發寒 恐怖風 06/26 23:48
→ Keney99: 越看越毛 不說還好果然納涼特輯 06/26 23:49
推 Ilt0101: 看到很像康x濃湯的罐頭是我的問題嗎XDDD 06/26 23:50
推 aa987801: 原本沒有想到但是你一說就覺得越看越像XDD 06/26 23:51
推 reweek: 夏日、恐怖、海灘、宴會服、聽了會想去旅行 這些東西要如 06/26 23:51
推 xxxangoy: 推推 06/26 23:52
→ reweek: 合拼湊起來呀XDDD 06/26 23:52
推 ezorange: 推推推 06/26 23:52
推 erin6677: 每個人微笑幅度都一樣 笑得我心底發寒 06/26 23:53
推 ypcoco12316: 多賢整個人感覺發光到看不清了XDDD 06/26 23:53
推 zxcvb0412: 不知道是不是我錯覺 第一張照片大家鼻子都好奇怪.... 06/26 23:54
推 aa987801: 真心覺得多賢看起來最恐怖 06/26 23:54
→ zxcvb0412: 尤其是山根處 不知道是打光太強了還是修過頭了 06/26 23:55
推 yangbui: 一直講害我第一張不敢看太久XDDD 06/26 23:55
→ mp3w69: 第一張多賢的眼睛 不知道為什麼 怎麼看怎麼覺得奇怪 XD 06/26 23:57
推 imhuahua: 第一張真的拍得有點怪 而且好擠XD 06/26 23:57
推 twicemina3: 推推 這次造型都好美 期待專輯跟MV 06/26 23:57
推 retry3965: 我還以為背景會是藍的XD 06/26 23:59
→ imhuahua: 第二張還不錯 06/26 23:59
推 sss10228: 感覺這次MV劇情有分派別喔(￣▽￣) 06/26 23:59
推 popo60312: 真的笑得我心裡發寒XD 06/26 23:59
推 whoami860506: 推 真的太美 被美哭了嗚嗚 06/27 00:00
→ smile00823: 嗚嗚嗚拍得太好啦！！！ 06/27 00:01
推 lucy1968: 美的有點恐怖.....好啦！錢通通拿走！ 06/27 00:02
推 IiTK: 推~超好看~ 06/27 00:03
推 polo608: O-<< 06/27 00:03
→ mp3w69: 最近剛看完\"真心話大冒險\"這部電影 我現在對微笑感到很恐 06/27 00:03
→ mp3w69: 懼 XD 06/27 00:03
推 Queenie7: 第一張好恐怖啊XDDD 子瑜的衣服感覺好美想買～ 06/27 00:04
推 ilnyc: 推好看 但越看越毛 XDD 豆腐真的最恐怖 >.< 06/27 00:04
推 pistw: 感覺穿黑色的成員是不一樣的角色～ 06/27 00:07
推 elvissu: 推~ 06/27 00:08
推 oncemaggie: 第一張豆腐真的怪怪的XD 06/27 00:09
推 wu9883005: 這就是 晚上的海灘趴阿~~好讚喔!!!! 06/27 00:09
→ wu9883005: 感覺很高級的派對~~~ 06/27 00:10
推 monmo: 第一張很多人笑到你心寒呀XDDD 06/27 00:11
推 seablue226: 恐怖XD 06/27 00:15
推 monmo: 彩彩如果綁成雙麻花辮這樣笑我一定會嚇慘 06/27 00:16
推 reweek: sss大這樣一說...四套黑衣風格還挺接近的 06/27 00:17
→ monmo: 四黑四紅一白 06/27 00:18
推 clwwimmida: 哇哇期待值爆表！！！ 06/27 00:19
推 wu9883005: 沒辦法~預告圖 每次都有修 都有點修過頭.... 06/27 00:20
推 gjek: 超期待阿!!!!!!!!!!!!!!!!!!!!! 06/27 00:22
推 lilweiting: 期待teaser~~~~ 06/27 00:24
推 fallrain0910: 這個真的好難猜,我已經懶得猜了  XDDD 06/27 00:31
推 oshimanyan: 夏日試膽(x)趴替(o)正式展開！ 06/27 00:31
→ ruby10312: 推~好期待啊! 06/27 00:32
推 tim24262426: 推 06/27 00:33
推 chaeyu: JYP家都是這種修法沒辦法XD 感覺JYPE老員工的地位不可動搖 06/27 00:33
→ chaeyu: (例如造型師www 06/27 00:33
推 Keney99: 納涼特輯 期待已久TWICE 06/27 00:38
推 VicJet: 造型很美！不過目前還無法想像怎麼和夏天風格吻合。真的蠻 06/27 00:53
→ VicJet: 宴會Party的感覺！ 06/27 00:53
推 rohan0615: 推推孩子們~造型很美 06/27 01:23
推 sosimpleman: 美極了！ 06/27 01:49
推 L0KTAR: 很貓的眼+咧開嘴笑+晚上+背景樹 很有柴郡貓那種詭異感 XD 06/27 02:01
推 L0KTAR: 又美又恐怖啊 超期待~~~ 06/27 02:04
推 OoJudyoO: 推 06/27 02:10
推 NK20000: 推推 06/27 02:31
→ NK20000: 漂亮的孩子旁邊還是漂亮的孩子<3 06/27 02:32
推 wennn0505: 真的很像試膽大會的主題XD 06/27 02:32
推 sol785632: http://i.imgur.com/cjmax8E.jpg 06/27 02:45
→ sol785632: 新的logo 06/27 02:46
推 pointer258: http://imgur.com/FIcLD9U找不到原出處了，如果是真的 06/27 02:50
→ pointer258: 有點恐怖 06/27 02:50
→ pointer258: http://imgur.com/FIcLD9U 06/27 02:51
推 pointer258: https://ptt.cc/fuF3qx 06/27 02:54
→ pointer258: 放棄 = = 06/27 02:55
推 chloeew: 超級美!!!!彩彩髮型好可愛O<-< 06/27 03:00
推 pointer258: http://i.imgur.com/QKpZpwL.jpg 06/27 03:03
推 Khadijah: 第一張好毛... 06/27 03:31
推 shwd: 半夜看好毛... 我覺得第一張彩彩最可怕XD 06/27 04:03
推 TWICE151020: 之前的專輯預告照片，很多都跟正式的MV無關不是嗎？ 06/27 05:41
→ TWICE151020: 偷推梅西進球～阿根廷晉級～開心～ 06/27 05:42
推 x578521: 可是那張預告圖，地上也有兩支蠟燭…… 06/27 06:33
推 Jsnailzz: 太難猜了哈哈是鬼魂嗎 06/27 06:42
推 cao666: 第一張太爆擊了吧@[email<U+00A0>protected] 06/27 06:46
推 cpyoyaya: 是海灘吸血鬼晚會風嗎@@？ 06/27 07:20
推 ymax36050: 預告一直以來不是一直拿來混淆once的嗎xd 06/27 07:22
→ ymax36050: 華麗的服裝跟環境的反差加上孩子們的笑容 是有點毛毛 06/27 07:23
→ ymax36050: 的 哈 06/27 07:23
推 wumayzi: 上面的說法，讓我早上看也一陣涼XD 06/27 07:26
→ wumayzi: JYPE也開始要玩預告套路了嗎XD 06/27 07:26
推 bluesunflowe: p大貼的分析好像有點強~~~ 06/27 07:27
※ 編輯: d00687 (27.147.2.54), 06/27/2018 07:51:55
推 monmo: 我們應該不會突然改這麼獵奇的風格啦 06/27 08:11
推 jkespn: 定延超美！！！ 06/27 08:15
推 CheChorryco: 前幾天預告的字也有的恐怖的感覺 06/27 09:44
推 cao666: 這是要走MV套路的節奏啊@[email<U+00A0>protected] 06/27 09:45
推 tearheart: 俞定延好美 06/27 10:06
